Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
369,JYOTHYLAB,JYOTHY LABS LIMITED,"1,815,781.15"
370,FINPIPE,FINOLEX INDUSTRIES LIMITED,"1,813,875.61"
371,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,"1,801,987.37"
372,IDFC,IDFC LIMITED             ,"1,793,079.70"
373,TECHNOE,TECHNO ELECTRIC & ENGINEERING COMPANY LIMITED,"1,789,850.59"
374,SONATSOFTW,SONATA SOFTWARE LIMITED,"1,780,018.77"
375,CREDITACC,CREDITACCESS GRAMEEN LIMITED,"1,767,257.31"
376,KFINTECH,KFIN TECHNOLOGIES LIMITED,"1,764,318.89"
377,GESHIP,THE GREAT EASTERN SHIPPING COMPANY LIMITED,"1,761,024.42"
378,ERIS,ERIS LIFESCIENCES LIMITED,"1,759,932.34"
379,AMBER,AMBER ENTERPRISES INDIA LIMITED,"1,758,078.93"
380,KARURVYSYA,KARUR VYSYA BANK LIMITED,"1,757,391.12"
381,CENTURYPLY,CENTURY PLYBOARDS (INDIA) LIMITED,"1,748,280.11"
382,KIRLOSENG,KIRLOSKAR OIL ENGINES LIMITED,"1,744,061.08"
383,JAIBALAJI,JAI BALAJI INDUSTRIES LIMITED,"1,740,817.90"
384,IFCI,IFCI LIMITED,"1,739,413.30"
385,ASTRAZEN,ASTRAZENECA PHARMA INDIA LIMITED,"1,732,818.39"
386,LMW,LMW LIMITED,"1,729,720.04"
387,BBTC,BOMBAY BURMAH TRADING CORPORATION LIMITED,"1,724,292.34"
388,BEML,BEML LIMITED,"1,709,983.68"
389,BSOFT,BIRLASOFT LIMITED,"1,709,538.03"
390,RKFORGE,RAMKRISHNA FORGINGS LIMITED,"1,708,742.48"
391,DCMSHRIRAM,DCM SHRIRAM LIMITED,"1,702,339.77"
392,NAVINFLUOR,NAVIN FLUORINE INTERNATIONAL LIMITED,"1,700,785.24"
393,WOCKPHARMA,WOCKHARDT LIMITED,"1,695,595.43"
394,ASAHIINDIA,ASAHI INDIA GLASS LIMITED,"1,694,601.13"
395,CGCL,CAPRI GLOBAL CAPITAL LIMITED,"1,690,267.28"
396,ZENSARTECH,ZENSAR TECHNOLOGIES LIMITED,"1,689,234.17"
397,IEX,INDIAN ENERGY EXCHANGE LIMITED,"1,686,095.39"
398,HBLENGINE,HBL ENGINEERING LIMITED,"1,684,479.58"
399,NEWGEN,NEWGEN SOFTWARE TECHNOLOGIES LIMITED,"1,680,541.62"
400,VENTIVE,VENTIVE HOSPITALITY LIMITED,"1,663,049.79"
401,APTUS,APTUS VALUE HOUSING FINANCE INDIA LIMITED,"1,646,679.64"
402,SOBHA,SOBHA LIMITED,"1,644,438.12"
403,ANANDRATHI,ANAND RATHI WEALTH LIMITED,"1,643,503.74"
404,BLS,BLS INTERNATIONAL SERVICES LIMITED,"1,643,275.91"
405,JUBLPHARMA,JUBILANT PHARMOVA LIMITED,"1,634,220.68"
406,WELSPUNLIV,WELSPUN LIVING LIMITED,"1,633,510.34"
407,TTML,TATA TELESERVICES (MAHARASHTRA) LIMITED,"1,633,442.97"
408,NEULANDLAB,NEULAND LABORATORIES LIMITED,"1,624,649.40"
409,INDIAMART,INDIAMART INTERMESH LIMITED,"1,620,864.13"
410,PCBL,PCBL LIMITED,"1,618,254.10"
411,ACE,ACTION CONSTRUCTION EQUIPMENT LIMITED,"1,608,520.03"
412,AKZOINDIA,AKZO NOBEL INDIA LIMITED,"1,607,718.23"
413,MANAPPURAM,MANAPPURAM FINANCE LIMITED,"1,600,627.54"
414,MGL,MAHANAGAR GAS LIMITED,"1,596,204.23"
415,KIRLOSBROS,KIRLOSKAR BROTHERS LIMITED,"1,592,974.53"
416,DOMS,DOMS INDUSTRIES LIMITED,"1,591,132.16"
417,PGEL,PG ELECTROPLAST LIMITED,"1,583,662.61"
418,CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED,"1,581,921.11"
419,FINEORG,FINE ORGANIC INDUSTRIES LIMITED,"1,577,757.62"
420,GRINFRA,G R INFRAPROJECTS LIMITED,"1,570,572.42"
421,ZENTEC,ZEN TECHNOLOGIES LIMITED,"1,551,169.98"
422,ACMESOLAR,ACME SOLAR HOLDINGS LIMITED,"1,548,561.40"
423,RITES,RITES LIMITED,"1,543,944.40"
424,REDINGTON,REDINGTON LIMITED,"1,539,299.00"
425,SAILIFE,SAI LIFE SCIENCES LIMITED,"1,535,424.92"
426,KSB,KSB LIMITED,"1,533,951.69"
427,UTIAMC,UTI ASSET MANAGEMENT COMPANY LIMITED,"1,530,937.96"
428,SANOFI,SANOFI INDIA LIMITED,"1,523,027.70"
429,SPLPETRO,SUPREME PETROCHEM LIMITED,"1,511,603.94"
430,DATAPATTNS,DATA PATTERNS (INDIA) LIMITED,"1,500,031.83"
431,NSLNISP,NMDC STEEL LIMITED,"1,499,537.54"
432,INDGN,INDEGENE LIMITED,"1,494,499.26"
433,GODREJAGRO,GODREJ AGROVET LIMITED,"1,492,227.54"
434,PVRINOX,PVR INOX LIMITED,"1,489,702.44"
435,RPOWER,RELIANCE POWER LIMITED,"1,489,425.87"
436,NIVABUPA,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,"1,484,547.26"
437,NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,"1,476,824.42"
438,EIDPARRY,EID PARRY INDIA LIMITED,"1,462,506.95"
439,CAPLIPOINT,CAPLIN POINT LABORATORIES LIMITED,"1,451,309.49"
440,GRAVITA,GRAVITA INDIA LIMITED,"1,447,400.95"
441,RAILTEL,RAILTEL CORPORATION OF INDIA LIMITED,"1,446,617.16"
442,VTL,VARDHMAN TEXTILES LIMITED,"1,431,155.88"
443,ECLERX,ECLERX SERVICES LIMITED,"1,428,128.72"
444,GRANULES,GRANULES INDIA LIMITED,"1,424,678.98"
445,SWSOLAR,STERLING AND WILSON RENEWABLE ENERGY LIMITED,"1,412,648.92"
446,RAINBOW,RAINBOW CHILDRENS MEDICARE LIMITED,"1,411,758.84"
447,NAVA,NAVA LIMITED,"1,403,685.74"
448,ELECON,ELECON ENGINEERING COMPANY LIMITED,"1,397,757.76"
449,GPIL,GODAWARI POWER AND ISPAT LIMITED,"1,393,766.16"
450,SARDAEN,SARDA ENERGY & MINERALS LIMITED,"1,388,204.86"
451,PRAJIND,PRAJ INDUSTRIES LIMITED,"1,376,653.53"
452,AAVAS,AAVAS FINANCIERS LIMITED,"1,364,401.91"
453,DEEPAKFERT,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,"1,362,608.58"
454,INGERRAND,INGERSOLL RAND (INDIA) LIMITED,"1,351,503.89"
455,RAYMONDLSL,RAYMOND LIFESTYLE LIMITED,"1,348,649.61"
456,OLECTRA,OLECTRA GREENTECH LIMITED,"1,334,886.19"
457,ZYDUSWELL,ZYDUS WELLNESS LIMITED,"1,324,102.84"
458,HONASA,HONASA CONSUMER LIMITED,"1,320,632.32"
459,MMTC,MMTC LIMITED,"1,314,828.57"
460,CRAFTSMAN,CRAFTSMAN AUTOMATION LIMITED,"1,299,294.19"
461,IWEL,INOX WIND ENERGY LIMITED,"1,290,945.38"
462,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LIMITED,"1,282,928.44"
463,WESTLIFE,WESTLIFE FOODWORLD LIMITED,"1,278,563.97"
464,LTFOODS,LT FOODS LIMITED,"1,277,875.67"
465,GLS,GLENMARK LIFE SCIENCES LIMITED,"1,270,864.60"
466,JPPOWER,JAIPRAKASH POWER VENTURES LIMITED,"1,264,865.70"
467,MINDACORP,MINDA CORPORATION LIMITED,"1,255,252.39"
468,CUB,CITY UNION BANK LIMITED,"1,252,552.79"
469,INTELLECT,INTELLECT DESIGN ARENA LIMITED,"1,251,370.19"
470,NUVOCO,NUVOCO VISTAS CORPORATION LIMITED,"1,250,271.90"
471,RAYMOND,RAYMOND LIMITED,"1,249,702.56"
472,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LIMITED,"1,242,367.81"
473,AKUMS,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,"1,240,609.80"
474,VOLTAMP,VOLTAMP TRANSFORMERS LIMITED,"1,238,484.54"
475,TARIL,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,"1,237,065.01"
476,TTKPRESTIG,TTK PRESTIGE LIMITED,"1,235,628.20"
477,GENUSPOWER,GENUS POWER INFRASTRUCTURES LIMITED,"1,220,282.62"
478,ALOKINDS,ALOK INDUSTRIES LIMITED,"1,219,975.35"
479,RBLBANK,RBL BANK LIMITED,"1,215,200.20"
480,ENGINERSIN,ENGINEERS INDIA LIMITED,"1,205,479.61"
481,RHIM,RHI MAGNESITA INDIA LIMITED,"1,203,064.98"
482,MARKSANS,MARKSANS PHARMA LIMITED,"1,199,123.51"
483,HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES LIMITED,"1,190,560.59"
484,TEGA,TEGA INDUSTRIES LIMITED,"1,189,426.49"
485,AETHER,AETHER INDUSTRIES LIMITED,"1,184,442.65"
486,JMFINANCIL,JM FINANCIAL LIMITED,"1,177,401.05"
487,SAFARI,SAFARI INDUSTRIES (INDIA) LIMITED,"1,166,106.46"
488,CEATLTD,CEAT LIMITED,"1,164,555.41"
489,SCI,SHIPPING CORPORATION OF INDIA LIMITED,"1,162,639.17"
490,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,"1,158,206.45"
491,J&KBANK,THE JAMMU & KASHMIR BANK LIMITED,"1,152,222.26"
492,MAHSCOOTER,MAHARASHTRA SCOOTERS LIMITED,"1,150,155.08"
493,USHAMART,USHA MARTIN LIMITED,"1,145,945.18"
494,TANLA,TANLA PLATFORMS LIMITED,"1,138,250.16"
495,STAR,STRIDES PHARMA SCIENCE LIMITED,"1,134,958.54"
496,ELECTCAST,ELECTROSTEEL CASTINGS LIMITED,"1,130,368.58"
497,SANOFICONR,SANOFI CONSUMER HEALTHCARE INDIA LIMITED,"1,128,431.83"
498,CANFINHOME,CAN FIN HOMES LIMITED,"1,125,623.65"
499,BALRAMCHIN,BALRAMPUR CHINI MILLS LIMITED,"1,121,324.76"
500,JUBLINGREA,JUBILANT INGREVIA LIMITED,"1,117,305.35"
501,EUREKAFORB,EUREKA FORBES LIMITED,"1,114,488.88"
502,JSWHL,JSW HOLDINGS LIMITED,"1,114,416.64"
503,MAPMYINDIA,C.E. INFO SYSTEMS LIMITED,"1,107,617.05"
504,INDIACEM,THE INDIA CEMENTS LIMITED,"1,100,069.86"
505,KPIGREEN,KPI GREEN ENERGY LIMITED,"1,090,793.57"
506,REDTAPE,REDTAPE LIMITED,"1,088,576.30"
507,HAPPYFORGE,HAPPY FORGINGS LIMITED,"1,088,291.80"
508,METROPOLIS,METROPOLIS HEALTHCARE LIMITED,"1,086,420.72"
509,JKTYRE,JK TYRE & INDUSTRIES LIMITED,"1,085,527.05"
510,INOXINDIA,INOX INDIA LIMITED,"1,082,283.81"
511,CERA,CERA SANITARYWARE LIMITED,"1,074,488.25"
512,ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED,"1,072,482.00"
513,VESUVIUS,VESUVIUS INDIA LIMITED,"1,068,369.43"
514,QUESS,QUESS CORP LIMITED,"1,059,489.35"
515,PRUDENT,PRUDENT CORPORATE ADVISORY SERVICES LIMITED,"1,059,476.34"
516,BAJAJELEC,BAJAJ ELECTRICALS LIMITED,"1,057,384.23"
517,GRAPHITE,GRAPHITE INDIA LIMITED,"1,054,970.80"
518,PNCINFRA,PNC INFRATECH LIMITED,"1,050,671.42"
519,LEMONTREE,LEMON TREE HOTELS LIMITED,"1,049,369.46"
520,SAPPHIRE,SAPPHIRE FOODS INDIA LIMITED,"1,046,724.23"
521,NETWORK18,NETWORK18 MEDIA & INVESTMENTS LIMITED,"1,045,392.71"
522,ISGEC,ISGEC HEAVY ENGINEERING LIMITED,"1,028,721.59"
523,GALAXYSURF,GALAXY SURFACTANTS LIMITED,"1,026,721.24"
524,RCF,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,"1,024,604.77"
525,RTNINDIA,RATTANINDIA ENTERPRISES LIMITED,"1,020,331.08"
526,SYMPHONY,SYMPHONY LIMITED,"1,018,973.79"
527,PURVA,PURAVANKARA LIMITED,"1,015,435.43"
528,GPPL,GUJARAT PIPAVAV PORT LIMITED,"1,012,894.09"
529,BIRLACORPN,BIRLA CORPORATION LIMITED,"1,007,904.65"
530,SAREGAMA,SAREGAMA INDIA LIMITED,"1,005,652.98"
531,DBREALTY,VALOR ESTATE LIMITED,"1,004,994.81"
532,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LIMITED,"1,003,751.56"
533,ARVIND,ARVIND LIMITED,"1,003,305.28"
534,THOMASCOOK,THOMAS COOK  (INDIA)  LIMITED,"1,002,252.18"
535,SFL,SHEELA FOAM LIMITED,"1,002,164.90"
536,RELINFRA,RELIANCE INFRASTRUCTURE LIMITED,"1,000,867.88"
537,LATENTVIEW,LATENT VIEW ANALYTICS LIMITED,"998,084.34"
538,EDELWEISS,EDELWEISS FINANCIAL SERVICES LIMITED,"995,981.46"
539,HOMEFIRST,HOME FIRST FINANCE COMPANY INDIA LIMITED,"983,643.41"
540,PNGJL,P N GADGIL JEWELLERS LIMITED,"982,219.22"
541,FORCEMOT,FORCE MOTORS LIMITED,"981,744.90"
542,JUSTDIAL,JUST DIAL LIMITED,"981,396.24"
543,ROUTE,ROUTE MOBILE LIMITED,"981,294.14"
544,HGINFRA,H.G. INFRA ENGINEERING LIMITED,"980,673.93"
545,IONEXCHANG,ION EXCHANGE (INDIA) LIMITED,"977,730.74"
546,RENUKA,SHREE RENUKA SUGARS LIMITED,"971,378.54"
547,VIJAYA,VIJAYA DIAGNOSTIC CENTRE LIMITED,"970,950.92"
548,SAMMAANCAP,SAMMAAN CAPITAL LIMITED,"960,286.51"
549,JKLAKSHMI,JK LAKSHMI CEMENT LIMITED,"955,106.91"
550,AZAD,AZAD ENGINEERING LIMITED,"952,730.17"
551,ESABINDIA,ESAB INDIA LIMITED,"950,453.20"
552,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,"949,825.16"
553,TIPSMUSIC,TIPS MUSIC LIMITED,"947,863.17"
554,WABAG,VA TECH WABAG LIMITED,"942,799.02"
555,TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LIMITED,"941,753.78"
556,KNRCON,KNR CONSTRUCTIONS LIMITED,"941,159.40"
557,IIFLCAPS,IIFL CAPITAL SERVICES LIMITED,"940,501.60"
558,ABDL,ALLIED BLENDERS AND DISTILLERS LIMITED,"939,107.81"
559,POWERMECH,POWER MECH PROJECTS LIMITED,"930,757.48"
560,CHOICEIN,CHOICE INTERNATIONAL LIMITED,"930,141.77"
561,KIRLPNU,KIRLOSKAR PNEUMATIC COMPANY LIMITED,"928,525.03"
562,AURIONPRO,AURIONPRO SOLUTIONS LIMITED,"927,459.35"
563,CCL,CCL PRODUCTS (INDIA) LIMITED,"926,665.76"
564,SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,"923,892.24"
565,SBFC,SBFC FINANCE LIMITED,"922,293.19"
566,PRSMJOHNSN,PRISM JOHNSON LIMITED,"915,903.24"
567,JLHL,JUPITER LIFE LINE HOSPITALS LIMITED,"915,562.89"
568,TEXRAIL,TEXMACO RAIL & ENGINEERING LIMITED,"914,844.48"
569,CAMPUS,CAMPUS ACTIVEWEAR LIMITED,"914,318.08"
570,ITDCEM,ITD CEMENTATION INDIA LIMITED,"913,205.75"
571,SHRIPISTON,SHRIRAM PISTONS & RINGS LIMITED,"912,257.35"
572,TIMETECHNO,TIME TECHNOPLAST LIMITED,"907,170.53"
573,SENCO,SENCO GOLD LIMITED,"899,686.79"
574,MASTEK,MASTEK LIMITED,"891,262.76"
575,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,"889,653.11"
576,BBOX,BLACK BOX LIMITED,"885,218.17"
577,RATEGAIN,RATEGAIN TRAVEL TECHNOLOGIES LIMITED,"883,164.19"
578,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"882,742.53"
579,CMSINFO,CMS INFO SYSTEMS LIMITED,"880,654.43"
580,RUSTOMJEE,KEYSTONE REALTORS LIMITED,"879,887.89"
581,MAXESTATES,MAX ESTATES LIMITED,"879,246.92"
582,VARROC,VARROC ENGINEERING LIMITED,"878,245.94"
583,PGHL,PROCTER & GAMBLE HEALTH LIMITED,"874,892.63"
584,MAHSEAMLES,MAHARASHTRA SEAMLESS LIMITED,"871,603.45"
585,HEG,HEG LIMITED,"871,427.25"
586,RELIGARE,RELIGARE ENTERPRISES LIMITED,"870,716.56"
587,AVANTIFEED,AVANTI FEEDS LIMITED,"865,624.18"
588,ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED,"864,852.79"
589,EQUITASBNK,EQUITAS SMALL FINANCE BANK LIMITED,"864,550.07"
590,SYRMA,SYRMA SGS TECHNOLOGY LIMITED,"859,727.49"
591,STARCEMENT,STAR CEMENT LIMITED,"858,528.57"
592,BLUEJET,BLUE JET HEALTHCARE LIMITED,"858,442.53"
593,ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,"850,712.56"
594,GRWRHITECH,GARWARE HI-TECH FILMS LIMITED,"850,654.09"
595,SANSERA,SANSERA ENGINEERING LIMITED,"847,885.56"
596,FDC,FDC LIMITED,"847,427.78"
597,JUNIPER,JUNIPER HOTELS LIMITED,"845,132.04"
598,MEDPLUS,MEDPLUS HEALTH SERVICES LIMITED,"845,060.54"
599,GALLANTT,GALLANTT ISPAT LIMITED,"838,673.42"
600,KTKBANK,THE KARNATAKA BANK LIMITED,"834,689.15"
601,MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LIMITED,"832,636.52"
602,TCI,TRANSPORT CORPORATION OF INDIA LIMITED,"832,356.84"
603,TVSSCS,TVS SUPPLY CHAIN SOLUTIONS LIMITED,"831,833.76"
604,GANESHHOUC,GANESH HOUSING CORPORATION LIMITED,"831,731.98"
605,ANURAS,ANUPAM RASAYAN INDIA LIMITED,"825,948.34"
606,GMRP&UI,GMR POWER AND URBAN INFRA LIMITED,"821,507.34"
607,SUNTECK,SUNTECK REALTY LIMITED,"818,185.47"
608,EMBDL,EQUINOX INDIA DEVELOPMENTS LIMITED,"815,702.59"
609,RTNPOWER,RATTANINDIA POWER LIMITED,"811,708.55"
610,MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED,"809,157.88"
611,RAJESHEXPO,RAJESH EXPORTS LIMITED,"809,093.60"
612,GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED,"808,010.98"
613,EPIGRAL,EPIGRAL LIMITED,"807,638.50"
614,JKPAPER,JK PAPER LIMITED,"806,776.65"
615,SHOPERSTOP,SHOPPERS STOP LIMITED,"806,259.62"
616,INFIBEAM,INFIBEAM AVENUES LIMITED,"803,333.32"
617,EPL,EPL LIMITED,"802,350.01"
618,MOIL,MOIL LIMITED,"800,258.08"
619,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED,"800,040.55"
620,CHEMPLASTS,CHEMPLAST SANMAR LIMITED,"798,733.18"
621,SANDUMA,SANDUR MANGANESE & IRON ORES LIMITED,"797,767.44"
622,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LIMITED,"791,746.44"
623,EMIL,ELECTRONICS MART INDIA LIMITED,"785,074.96"
624,DIACABS,DIAMOND POWER INFRASTRUCTURE LIMITED,"782,931.78"
625,TV18BRDCST,TV18 BROADCAST LIMITED   ,"782,779.17"
626,UJJIVANSFB,UJJIVAN SMALL FINANCE BANK LIMITED,"772,492.98"
627,SHILPAMED,SHILPA MEDICARE LIMITED,"767,002.81"
628,INDIASHLTR,INDIA SHELTER FINANCE CORPORATION LIMITED,"765,251.52"
629,PARADEEP,PARADEEP PHOSPHATES LIMITED,"765,201.20"
630,ETHOSLTD,ETHOS LIMITED,"757,504.08"
631,ICIL,INDO COUNT INDUSTRIES LIMITED,"753,263.53"
632,VMART,V-MART RETAIL LIMITED,"749,741.84"
633,LXCHEM,LAXMI ORGANIC INDUSTRIES LIMITED,"749,546.32"
634,WELENT,WELSPUN ENTERPRISES LIMITED,"748,513.87"
635,HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED,"745,837.39"
636,DBL,DILIP BUILDCON LIMITED,"745,116.13"
637,MIDHANI,MISHRA DHATU NIGAM LIMITED,"743,933.83"
638,PDSL,PDS LIMITED,"742,818.77"
639,MANINFRA,MAN INFRACONSTRUCTION LIMITED,"742,308.15"
640,IFBIND,IFB INDUSTRIES LIMITED,"740,064.07"
641,TRANSRAILL,TRANSRAIL LIGHTING LIMITED,"738,094.87"
642,DHANUKA,DHANUKA AGRITECH LIMITED,"736,478.61"
643,TMB,TAMILNAD MERCANTILE BANK LIMITED,"732,521.89"
644,ORCHPHARMA,ORCHID PHARMA LIMITED,"730,606.69"
645,NAZARA,NAZARA TECHNOLOGIES LIMITED,"729,581.55"
646,RESPONIND,RESPONSIVE INDUSTRIES LIMITED,"729,467.43"
647,EMUDHRA,EMUDHRA LIMITED,"727,012.85"
648,ARVINDFASN,ARVIND FASHIONS LIMITED,"725,349.76"
649,DODLA,DODLA DAIRY LIMITED,"725,104.64"
650,SUNDARMHLD,SUNDARAM FINANCE HOLDINGS LIMITED,"715,591.31"
651,BALUFORGE,BALU FORGE INDUSTRIES LIMITED,"709,478.41"
652,TIIL,TECHNOCRAFT INDUSTRIES (INDIA) LIMITED,"708,289.13"
653,INDIGOPNTS,INDIGO PAINTS LIMITED,"707,004.80"
654,SUPRAJIT,SUPRAJIT ENGINEERING LIMITED,"706,696.90"
655,BALAMINES,BALAJI AMINES LIMITED,"706,693.33"
656,GREENLAM,GREENLAM INDUSTRIES LIMITED,"706,463.49"
657,SPARC,SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED,"706,303.68"
658,JINDWORLD,JINDAL WORLDWIDE LIMITED,"700,497.33"
659,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LIMITED,"700,204.79"
660,UNIMECH,UNIMECH AEROSPACE AND MANUFACTURING LIMITED,"699,917.85"
661,GABRIEL,GABRIEL INDIA LIMITED,"696,576.78"
662,ASHOKA,ASHOKA BUILDCON LIMITED,"694,550.01"
663,VIPIND,VIP INDUSTRIES LIMITED,"692,410.55"
664,SURYAROSNI,SURYA ROSHNI LIMITED,"691,388.65"
665,BLACKBUCK,ZINKA LOGISTICS SOLUTIONS LIMITED,"688,734.42"
666,KRBL,KRBL LIMITED,"683,164.57"
667,GOKEX,GOKALDAS EXPORTS LIMITED,"680,236.10"
668,SHARDAMOTR,SHARDA MOTOR INDUSTRIES LIMITED,"677,774.45"
669,AMIORG,AMI ORGANICS LIMITED,"677,121.22"
670,NESCO,NESCO LIMITED,"674,556.54"
671,KESORAMIND,KESORAM INDUSTRIES LIMITED,"667,762.52"
672,HNDFDS,HINDUSTAN FOODS LIMITED,"665,036.03"
673,ORIENTCEM,ORIENT CEMENT LIMITED,"662,481.41"
674,SOUTHBANK,THE SOUTH INDIAN BANK LIMITED,"655,871.69"
675,TARC,TARC LIMITED,"654,345.44"
676,BORORENEW,BOROSIL RENEWABLES LIMITED,"652,980.40"
677,TDPOWERSYS,TD POWER SYSTEMS LIMITED,"650,669.97"
678,EASEMYTRIP,EASY TRIP PLANNERS LIMITED,"647,447.39"
679,NIITMTS,NIIT LEARNING SYSTEMS LIMITED,"646,321.37"
680,BANSALWIRE,BANSAL WIRE INDUSTRIES LIMITED,"641,968.86"
681,RALLIS,RALLIS INDIA LIMITED,"640,959.43"
682,PRIVISCL,PRIVI SPECIALITY CHEMICALS LIMITED,"638,663.93"
683,CEIGALL,CEIGALL INDIA LIMITED,"636,677.42"
684,JAICORPLTD,JAI CORP LIMITED,"636,320.29"
685,VSTIND,VST INDUSTRIES LIMITED,"629,053.08"
686,NFL,NATIONAL FERTILIZERS LIMITED,"624,180.42"
687,STLTECH,STERLITE TECHNOLOGIES LIMITED,"624,110.73"
688,ICRA,ICRA LIMITED,"621,557.28"
689,PILANIINVS,PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,"621,444.31"
690,ROLEXRINGS,ROLEX RINGS LIMITED,"620,957.45"
691,AVL,ADITYA VISION LIMITED,"619,215.27"
692,GOCOLORS,GO FASHION (INDIA) LIMITED,"618,920.24"
693,UEL,UJAAS ENERGY LIMITED     ,"618,245.20"
694,GULFOILLUB,GULF OIL LUBRICANTS INDIA LIMITED,"614,403.84"
695,LUXIND,LUX INDUSTRIES LIMITED,"612,237.83"
696,PCJEWELLER,PC JEWELLER LIMITED,"611,415.08"
697,GMMPFAUDLR,GMM PFAUDLER LIMITED,"609,185.01"
698,GAEL,GUJARAT AMBUJA EXPORTS LIMITED,"608,224.96"
699,SHAREINDIA,SHARE INDIA SECURITIES LIMITED,"607,510.34"
700,IXIGO,LE TRAVENUES TECHNOLOGY LIMITED,"607,248.45"
701,AGI,AGI GREENPAC LIMITED,"607,080.43"
702,LLOYDSENT,LLOYDS ENTERPRISES LIMITED,"601,922.92"
703,PRINCEPIPE,PRINCE PIPES AND FITTINGS LIMITED,"601,739.20"
704,PRICOLLTD,PRICOL LIMITED,"599,349.85"
705,GHCL,GHCL LIMITED,"596,708.11"
706,ALLCARGO,ALLCARGO LOGISTICS LIMITED,"595,837.39"
707,JKIL,J.KUMAR INFRAPROJECTS LIMITED,"595,392.05"
708,ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,"595,044.61"
709,TI,TILAKNAGAR INDUSTRIES LIMITED,"592,286.73"
710,HCG,HEALTHCARE GLOBAL ENTERPRISES LIMITED,"591,558.68"
711,DBCORP,D.B.CORP LIMITED,"590,489.36"
712,SIS,SIS LIMITED,"585,477.12"
713,GUJALKALI,GUJARAT ALKALIES AND CHEMICALS LIMITED,"582,695.61"
714,RSYSTEMS,R SYSTEMS INTERNATIONAL LIMITED,"581,192.43"
715,PTC,PTC INDIA LIMITED,"579,044.66"
716,ENTERO,ENTERO HEALTHCARE SOLUTIONS LIMITED,"576,818.31"
717,SHARDACROP,SHARDA CROPCHEM LIMITED,"576,159.18"
718,INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED,"573,209.37"
719,AARTIPHARM,AARTI PHARMALABS LIMITED,"569,859.93"
720,RAIN,RAIN INDUSTRIES LIMITED,"562,985.27"
721,CSBBANK,CSB BANK LIMITED,"562,384.60"
722,CYIENTDLM,CYIENT DLM LIMITED,"561,756.75"
723,THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,"561,473.89"
724,BANCOINDIA,BANCO PRODUCTS (I) LIMITED,"561,214.23"
725,JSFB,JANA SMALL FINANCE BANK LIMITED,"559,893.47"
726,JCHAC,JOHNSON CONTROLS - HITACHI AIR CONDITIONING INDIA LIMITED,"554,483.09"
727,HEMIPROP,HEMISPHERE PROPERTIES INDIA LIMITED,"543,682.51"
728,MTARTECH,MTAR TECHNOLOGIES LIMITED,"540,824.04"
729,NPST,NETWORK PEOPLE SERVICES TECHNOLOGIES LIMITED,"538,941.88"
730,ORIENTELEC,ORIENT ELECTRIC LIMITED,"536,187.49"
731,MANORAMA,MANORAMA INDUSTRIES LIMITED,"532,624.41"
732,MSTCLTD,MSTC LIMITED,"530,420.14"
733,PAISALO,PAISALO DIGITAL LIMITED,"528,267.96"
734,KIRLOSIND,KIRLOSKAR INDUSTRIES LIMITED,"525,761.42"
735,OPTIEMUS,OPTIEMUS INFRACOM LIMITED,"523,072.67"
736,ANUP,THE ANUP ENGINEERING LIMITED,"520,931.41"
737,EIEL,ENVIRO INFRA ENGINEERS LIMITED,"518,216.42"
